计数,名称,内容,位置 X,位置 Y,位置 Z,直径,中心 X,中心 Y,中心 Z
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-282.18},12528.1693,5258.5705,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-441.46},13369.5340,4686.4907,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-393.50},13561.5947,4780.3424,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-228.43},13068.2490,5411.4486,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-292.83},13049.2614,5200.5523,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-474.90},10015.7020,4600.3882,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;35.36},11690.1777,5809.8694,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-573.15},10333.6936,3994.1452,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-404.03},6009.1078,3586.6112,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-222.62},11685.7978,5793.1384,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;3.91},10104.8117,4627.8863,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;35.91},10018.0479,4616.6808,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.07},10337.7795,4012.1645,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;∠18°},10109.6693,4614.1142,0.0000,,,,
1,圆,,,,,17.4008,4678.6202,5722.3407,0.0000
1,圆,,,,,10.0349,4543.3551,3198.9216,0.0000
1,圆,,,,,17.4008,4790.2887,5583.4781,0.0000
1,圆,,,,,10.0349,4678.6851,5722.3239,0.0000
1,圆,,,,,17.4008,3606.2161,4271.7237,0.0000
1,圆,,,,,10.0349,5965.0893,5773.1634,0.0000
1,圆,,,,,17.4008,4543.2901,3198.9384,0.0000
1,圆,,,,,10.0349,3606.2810,4271.7069,0.0000
1,圆,,,,,10.0349,4790.3536,5583.4613,0.0000
1,圆,,,,,10.0349,5631.3200,4642.2503,0.0000
1,圆,,,,,17.4008,5631.2551,4642.2671,0.0000
1,圆,,,,,10.0349,6069.4023,4108.2956,0.0000
1,圆,,,,,17.4008,6069.3374,4108.3123,0.0000
1,圆,,,,,10.0349,4942.0714,5405.1134,0.0000
1,圆,,,,,17.4008,4942.0065,5405.1302,0.0000
1,圆,,,,,10.0349,5150.2399,5184.0405,0.0000
1,圆,,,,,17.4008,5150.1749,5184.0573,0.0000
1,圆,,,,,10.0349,6488.0890,2556.4963,0.0000
1,圆,,,,,17.4008,6488.0241,2556.5131,0.0000
1,圆,,,,,10.0349,6030.8251,3088.2125,0.0000
1,圆,,,,,17.4008,6030.7602,3088.2292,0.0000
1,圆,,,,,10.0349,7106.4901,4076.0009,0.0000
1,圆,,,,,17.4008,7106.4252,4076.0176,0.0000
1,圆,,,,,10.0349,7116.0850,4393.9148,0.0000
1,圆,,,,,17.4008,7116.0201,4393.9316,0.0000
1,圆,,,,,17.4008,5581.6562,3610.4395,0.0000
1,圆,,,,,17.4008,4618.7493,4709.3449,0.0000
1,圆,,,,,10.0349,4864.8545,4434.1598,0.0000
1,圆,,,,,17.4008,5965.0244,5773.1802,0.0000
1,圆,,,,,10.0349,4618.8142,4709.3281,0.0000
1,圆,,,,,17.4008,5106.4627,4163.3293,0.0000
1,圆,,,,,10.0349,5581.7211,3610.4228,0.0000
1,圆,,,,,17.4008,4864.7896,4434.1766,0.0000
1,圆,,,,,10.0349,5106.5277,4163.3125,0.0000
1,圆,,,,,17.4008,14601.6928,5697.6555,0.0000
1,圆,,,,,10.0349,12593.3149,4738.1403,0.0000
1,圆,,,,,17.4008,12593.2500,4738.1571,0.0000
1,圆,,,,,10.0349,12749.6484,4526.8371,0.0000
1,圆,,,,,17.4008,12749.5834,4526.8539,0.0000
1,圆,,,,,10.0349,12621.4013,5272.0958,0.0000
1,圆,,,,,17.4008,12621.3364,5272.1126,0.0000
1,圆,,,,,10.0349,12632.6240,4908.3497,0.0000
1,圆,,,,,17.4008,12632.5591,4908.3665,0.0000
1,圆,,,,,17.4008,12691.6479,4326.1984,0.0000
1,圆,,,,,17.4008,12667.6738,3453.4830,0.0000
1,圆,,,,,10.0349,12656.6710,3846.8475,0.0000
1,圆,,,,,17.4008,12944.3036,1667.4717,0.0000
1,圆,,,,,10.0349,12667.7387,3453.4662,0.0000
1,圆,,,,,17.4008,12653.8316,4042.8619,0.0000
1,圆,,,,,10.0349,12691.7129,4326.1816,0.0000
1,圆,,,,,17.4008,12656.6061,3846.8642,0.0000
1,圆,,,,,10.0349,12653.8965,4042.8451,0.0000
1,圆,,,,,17.4008,13199.1900,4074.5236,0.0000
1,圆,,,,,10.0349,7111.9151,4808.8557,0.0000
1,圆,,,,,17.4008,13176.5287,3830.2570,0.0000
1,圆,,,,,10.0349,13199.2549,4074.5068,0.0000
1,圆,,,,,17.4008,13205.9751,4507.0621,0.0000
1,圆,,,,,10.0349,13151.4408,4759.0219,0.0000
1,圆,,,,,17.4008,7111.8502,4808.8725,0.0000
1,圆,,,,,10.0349,13206.0400,4507.0453,0.0000
1,圆,,,,,10.0349,13176.5937,3830.2402,0.0000
1,圆,,,,,10.0349,12631.7880,5667.1589,0.0000
1,圆,,,,,17.4008,12631.7231,5667.1757,0.0000
1,圆,,,,,10.0349,12636.7926,5627.1205,0.0000
1,圆,,,,,17.4008,12636.7277,5627.1373,0.0000
1,圆,,,,,10.0349,13251.1341,3212.0045,0.0000
1,圆,,,,,17.4008,13251.0692,3212.0213,0.0000
1,圆,,,,,10.0349,12876.4202,5624.3441,0.0000
1,圆,,,,,17.4008,12876.3552,5624.3609,0.0000
1,圆,,,,,10.0349,11989.1203,5122.3981,0.0000
1,圆,,,,,17.4008,11989.0554,5122.4149,0.0000
